all_other_loans,candidate_contribution,cash_on_hand_beginning_period,committee_designation,committee_designation_full,committee_id,committee_name,committee_state,committee_type,committee_type_full,contribution_refunds,contributions,coverage_end_date,coverage_start_date,cycle,disbursements,filing_frequency,filing_frequency_full,first_f1_date,first_file_date,individual_contributions,individual_itemized_contributions,individual_unitemized_contributions,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_report_type_full,last_report_year,loan_repayments,loan_repayments_candidate_loans,loan_repayments_other_loans,loans,loans_made_by_candidate,net_contributions,net_operating_expenditures,offsets_to_operating_expenditures,operating_expenditures,organization_type,organization_type_full,other_disbursements,other_political_committee_contributions,other_receipts,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,transaction_coverage_date,transfers_from_other_authorized_committee,transfers_to_other_authorized_committee,treasurer_name
0.0,0.0,13775.8,P,Principal campaign committee,C00649798,SODERBERG FOR CONGRESS,FL,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,315.0,Q,Quarterly filer,2017-07-10,2017-07-10,0.0,0.0,0.0,202607159890686975,13460.8,197619.58,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,315.0,0.0,315.0,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"TARLETON, ANN"
0.0,0.0,0.0,P,Principal campaign committee,C00917138,BRAD GAINES FOR CONGRESS,TN,H,House,0.0,3525.0,2026-06-30T00:00:00,2025-07-01T00:00:00,2026,1.3,Q,Quarterly filer,2025-08-25,2025-08-25,3525.0,3500.0,25.0,202607169890852365,3523.7,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,3525.0,1.3,0.0,1.3,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,3525.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"BREWER, JAMES T"
0.0,237760.91,48784.32,P,Principal campaign committee,C00458117,FRIENDS OF SIMITIAN,CA,H,House,1000.0,235860.91,2025-03-31T00:00:00,2025-01-01T00:00:00,2026,287645.23,T,Terminated,2009-01-02,2009-01-02,-1900.0,-2000.0,100.0,202504149755303319,0.0,0.0,0.0,TERMINATION REPORT,2025,250000.0,250000.0,0.0,0.0,0.0,234860.91,1419.0,0.0,1419.0,,,35226.23,0.0,3000.0,DEMOCRATIC PARTY,0.0,238860.91,1000.0,0.0,0.0,2025-03-31,0.0,0.0,"MILLER, RUSSELL H."
0.0,0.0,0.0,P,Principal campaign committee,C00933077,"VICTOR AGUILAR, JR. FOR CONGRESS",CA,H,House,0.0,5525.2,2026-06-15T00:00:00,2026-01-01T00:00:00,2026,5625.2,T,Terminated,2026-01-05,2026-01-05,5525.2,4700.2,825.0,202606159870675227,0.0,0.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,0.0,0.0,5525.2,5625.2,0.0,5625.2,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,5525.2,0.0,0.0,0.0,2026-06-15,0.0,0.0,"WEDGE, JULIE"
0.0,0.0,0.0,P,Principal campaign committee,C00497859,HALL FOR CONGRESS,CA,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2011-06-20,2011-06-20,0.0,0.0,0.0,202607079874796087,0.0,501802.11,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"GOULD, DAVID"
0.0,0.0,21562.08,P,Principal campaign committee,C00668194,HANK 4 KY,KY,H,House,0.0,3800.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,23339.06,Q,Quarterly filer,2018-02-01,2018-02-01,3800.0,3500.0,300.0,202607179890877954,2023.02,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,3800.0,23339.06,0.0,23339.06,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,3800.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"CALLEN, STEPHANIE"
0.0,0.0,29832.28,P,Principal campaign committee,C00460063,BILLY LONG FOR SENATE,MO,S,Senate,7940.0,136900.0,2025-04-15T00:00:00,2025-01-01T00:00:00,2026,166732.28,T,Terminated,2009-03-16,2009-03-16,136900.0,136600.0,300.0,202504159756073548,0.0,0.0,0.0,TERMINATION REPORT,2025,130000.0,130000.0,0.0,0.0,0.0,128960.0,8182.58,0.0,8182.58,,,20609.7,0.0,0.0,REPUBLICAN PARTY,0.0,136900.0,2940.0,5000.0,0.0,2025-04-15,0.0,0.0,"TAYLOR, JERED M"
0.0,0.0,32695.47,P,Principal campaign committee,C00460261,AL LAWSON FOR CONGRESS,FL,H,House,0.0,0.0,2025-12-31T00:00:00,2025-01-01T00:00:00,2026,3130.84,T,Terminated,2009-03-30,2009-03-30,0.0,0.0,0.0,202601179794029506,29564.63,0.0,0.0,TERMINATION REPORT,2025,0.0,0.0,0.0,0.0,0.0,0.0,3130.84,0.0,3130.84,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2025-12-31,0.0,0.0,"LAWSON, DELORES B"
0.0,0.0,95.55,P,Principal campaign committee,C00812776,EJ FOR CONGRESS,MD,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2022-04-14,2022-04-14,0.0,0.0,0.0,202607089874801523,95.55,33720.3,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"WATKINS, NANCY H."
0.0,0.0,608.24,P,Principal campaign committee,C00805820,KEVIN SHAKIL-MENDEZ FOR CONGRESS,NY,H,House,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,0.0,Q,Quarterly filer,2022-02-18,2022-02-18,0.0,0.0,0.0,202607209890932158,608.24,10916.66,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,DEMOCRATIC PARTY,0.0,0.0,0.0,0.0,0.0,2026-06-30,0.0,0.0,"SHEIKH, ABDUL L"
