all_loans_received,allocated_federal_election_levin_share,cash_on_hand_beginning_period,committee_designation,committee_designation_full,committee_id,committee_name,committee_state,committee_type,committee_type_full,contribution_refunds,contributions,contributions_ie_and_party_expenditures_made_percent,convention_exp,coordinated_expenditures_by_party_committee,coverage_end_date,coverage_start_date,cycle,disbursements,exp_prior_years_subject_limits,exp_subject_limits,fed_candidate_committee_contributions,fed_candidate_contribution_refunds,fed_disbursements,fed_election_activity,fed_operating_expenditures,fed_receipts,federal_funds,filing_frequency,filing_frequency_full,first_f1_date,first_file_date,independent_expenditures,individual_contributions,individual_contributions_percent,individual_itemized_contributions,individual_unitemized_contributions,itemized_convention_exp,itemized_other_disb,itemized_other_income,itemized_other_refunds,itemized_refunds_relating_convention_exp,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_report_type_full,last_report_year,loan_repayments_made,loan_repayments_received,loans_and_loan_repayments_made,loans_and_loan_repayments_received,loans_made,net_contributions,net_operating_expenditures,non_allocated_fed_election_activity,offsets_to_operating_expenditures,operating_expenditures,operating_expenditures_percent,organization_type,organization_type_full,other_disbursements,other_fed_operating_expenditures,other_fed_receipts,other_political_committee_contributions,other_refunds,party_and_other_committee_contributions_percent,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,refunds_relating_convention_exp,shared_fed_activity,shared_fed_activity_nonfed,shared_fed_operating_expenditures,shared_nonfed_operating_expenditures,sponsor_candidate_ids,sponsor_candidate_list,total_exp_subject_limits,total_transfers,transaction_coverage_date,transfers_from_affiliated_party,transfers_from_nonfed_account,transfers_from_nonfed_levin,transfers_to_affiliated_committee,treasurer_name,unitemized_convention_exp,unitemized_other_disb,unitemized_other_income,unitemized_other_refunds,unitemized_refunds_relating_convention_exp
0.0,0.0,7770505.62,B,Lobbyist/Registrant PAC,C00004036,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),DC,Q,PAC - Qualified,-7166.84,65117961.66,22.25,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,31197125.85,0.0,0.0,6682235.5,5000.0,31197125.85,0.0,6510411.68,77032755.5,0.0,M,Monthly filer,1976-04-14,1975-03-04,259909.56,65116961.66,84.53,165617.29,64951344.37,0.0,0.0,0.0,0.0,0.0,202608209903345679,53606135.27,3518981.96,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,65125128.5,6409992.65,0.0,100419.03,6510411.68,20.87,L,Labor Organization,17751735.95,6510411.68,110000.0,1000.0,0.0,0.0,,0.0,77032755.5,-7166.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,11699374.81,0.0,0.0,0.0,"SAENZ, ROCIO",0.0,0.0,0.0,0.0,0.0
0.0,0.0,41045.77,B,Lobbyist/Registrant PAC,C00004101,NATIONAL UTILITY CONTRACTORS ASSOCIATION LEGISLATIVE INFORMATION AND ACTION COMMITTEE,VA,Q,PAC - Qualified,5000.0,21451.0,87.37,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,44067.04,0.0,0.0,38500.0,0.0,44067.04,0.0,567.04,24297.86,0.0,Q,Quarterly filer,1976-05-07,1976-05-07,0.0,21451.0,88.28,21301.0,150.0,0.0,0.0,0.0,0.0,0.0,202607159875199036,21276.59,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,16451.0,567.04,0.0,0.0,567.04,1.29,T,Trade Association,0.0,567.04,2846.86,0.0,0.0,0.0,UNKNOWN,0.0,24297.86,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"BARRETT, CHRIS",0.0,0.0,0.0,0.0,0.0
0.0,0.0,2248335.37,B,Lobbyist/Registrant PAC,C00004275,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),DC,Q,PAC - Qualified,5000.0,528569.12,99.85,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,3303500.0,0.0,0.0,3298500.0,31580.9,3303500.0,0.0,0.0,3177400.02,0.0,M,Monthly filer,1975-08-22,1975-07-08,0.0,463069.12,14.57,408566.9,54502.22,0.0,0.0,0.0,0.0,0.0,202608189899552257,2122235.39,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,523569.12,0.0,0.0,0.0,0.0,0.0,T,Trade Association,0.0,0.0,0.0,65500.0,0.0,2.06,NONE,0.0,3177400.02,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,2617250.0,0.0,0.0,0.0,"BROWN, MATTHEW J MR.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,141232.45,B,Lobbyist/Registrant PAC,C00004325,SEAFARERS POLITICAL ACTIVITY DONATION - SEAFARERS INTERNATIONAL UNION OF NA-AGLIW,MD,Q,PAC - Qualified,0.0,903460.3,38.42,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,721922.32,0.0,0.0,277341.67,0.0,721922.32,0.0,340661.15,1202724.96,0.0,M,Monthly filer,1976-07-10,1975-03-05,0.0,903460.3,75.12,102251.35,801208.95,0.0,0.0,0.0,0.0,0.0,202608189899544938,622035.09,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,903460.3,340661.15,0.0,0.0,340661.15,47.19,L,Labor Organization,103919.5,340661.15,299263.66,0.0,0.0,0.0,,0.0,1202724.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,1.0,0.0,0.0,0.0,"ORZECHOWSKI, THOMAS JR.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,332767.55,U,Unauthorized,C00004440,TEAMSTERS LOCAL 745 DRIVE,TX,Q,PAC - Qualified,0.0,65493.31,2.18,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,114934.85,0.0,0.0,2500.0,0.0,114934.85,0.0,0.0,75546.38,0.0,Q,Quarterly filer,1975-10-10,1975-03-07,0.0,203.0,0.27,0.0,203.0,0.0,0.0,0.0,0.0,0.0,202607149875040695,293379.08,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,65493.31,0.0,0.0,0.0,0.0,0.0,L,Labor Organization,112434.85,0.0,10053.07,65290.31,0.0,86.42,,0.0,75546.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"TAYLOR, BRENT",0.0,0.0,0.0,0.0,0.0
0.0,0.0,342626.46,B,Lobbyist/Registrant PAC,C00004473,NATIONAL TELECOMMUNICATIONS COOPERATIVE ASSOCIATION RURAL BROADBAND PAC,VA,Q,PAC - Qualified,0.0,779260.61,99.03,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,656754.04,0.0,0.0,650400.0,7500.0,656754.04,0.0,0.0,786760.61,0.0,M,Monthly filer,1975-07-11,1975-03-14,0.0,779260.61,99.05,695720.52,83540.09,0.0,0.0,0.0,0.0,0.0,202608139899504912,472633.03,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,779260.61,0.0,0.0,0.0,0.0,0.0,T,Trade Association,6354.04,0.0,0.0,0.0,0.0,0.0,,0.0,786760.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-07-31,0.0,0.0,0.0,0.0,"KOILPILLAI, MANO",0.0,0.0,0.0,0.0,0.0
0.0,0.0,12198.05,U,Unauthorized,C00004606,KANSAS REPUBLICAN PARTY,KS,Y,Party - Qualified,0.0,474178.11,0.0,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,526488.25,0.0,0.0,0.0,0.0,526488.25,0.0,402398.53,558359.08,0.0,Q,Quarterly filer,1979-03-15,1975-07-10,0.0,421526.35,75.49,413329.23,8197.12,0.0,0.0,0.0,0.0,0.0,202608109899427501,44068.88,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,474178.11,402398.53,0.0,0.0,402398.53,76.43,,,124089.72,402398.53,11368.22,50651.76,0.0,9.43,REPUBLICAN PARTY,2000.0,558359.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,72812.75,0.0,0.0,0.0,"LOMSHEK, ROGER",0.0,0.0,0.0,0.0,0.0
0.0,0.0,809542.37,B,Lobbyist/Registrant PAC,C00004812,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),DC,Q,PAC - Qualified,17124.99,2478455.11,97.22,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,2735504.26,0.0,0.0,2659462.52,4000.0,2735504.26,0.0,58916.75,2527368.43,0.0,M,Monthly filer,1976-06-24,1975-03-06,0.0,2321255.11,91.84,2177830.43,143424.68,0.0,0.0,0.0,0.0,0.0,202608209903335725,601406.54,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,2461330.12,14003.43,0.0,44913.32,58916.75,2.15,T,Trade Association,0.0,58916.75,0.0,157200.0,0.0,6.22,UNKNOWN,0.0,2527368.43,17124.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"KILLMER, WILLIAM MR.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,1180916.73,B,Lobbyist/Registrant PAC,C00004861,UNITE HERE TIP CAMPAIGN COMMITTEE,NY,Q,PAC - Qualified,6999.0,1534453.63,76.24,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,618408.46,0.0,0.0,471500.0,0.0,618408.46,0.0,3159.46,1559730.37,0.0,M,Monthly filer,1975-10-20,1975-04-07,0.0,1534453.63,98.38,71297.06,1463156.57,0.0,0.0,0.0,0.0,0.0,202608189899550789,2122238.64,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,1527454.63,1842.46,0.0,1317.0,3159.46,0.51,L,Labor Organization,136750.0,3159.46,23959.74,0.0,0.0,0.0,,0.0,1559730.37,6999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-07-31,0.0,0.0,0.0,0.0,"TANNU, ZAINA",0.0,0.0,0.0,0.0,0.0
0.0,0.0,367199.39,B,Lobbyist/Registrant PAC,C00004879,AMERICAN BUS ASSOCIATION POLITICAL ACTION COMMITTEE - BUSPAC,DC,Q,PAC - Qualified,0.0,125996.54,91.1,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,88363.1,0.0,0.0,80500.0,1000.0,88363.1,0.0,2984.0,147314.64,0.0,M,Monthly filer,1975-09-29,1975-03-14,0.0,125946.54,85.49,123266.54,2680.0,0.0,0.0,0.0,0.0,0.0,202608209899672848,426140.93,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,125996.54,2984.0,0.0,0.0,2984.0,3.38,T,Trade Association,4879.1,2984.0,20318.1,50.0,0.0,0.03,UNKNOWN,0.0,147314.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"BRAENDEL, ERIC MR.",0.0,0.0,0.0,0.0,0.0
