all_loans_received,allocated_federal_election_levin_share,cash_on_hand_beginning_period,committee_designation,committee_designation_full,committee_id,committee_name,committee_state,committee_type,committee_type_full,contribution_refunds,contributions,contributions_ie_and_party_expenditures_made_percent,convention_exp,coordinated_expenditures_by_party_committee,coverage_end_date,coverage_start_date,cycle,disbursements,exp_prior_years_subject_limits,exp_subject_limits,fed_candidate_committee_contributions,fed_candidate_contribution_refunds,fed_disbursements,fed_election_activity,fed_operating_expenditures,fed_receipts,federal_funds,filing_frequency,filing_frequency_full,first_f1_date,first_file_date,independent_expenditures,individual_contributions,individual_contributions_percent,individual_itemized_contributions,individual_unitemized_contributions,itemized_convention_exp,itemized_other_disb,itemized_other_income,itemized_other_refunds,itemized_refunds_relating_convention_exp,last_beginning_image_number,last_cash_on_hand_end_period,last_debts_owed_by_committee,last_debts_owed_to_committee,last_report_type_full,last_report_year,loan_repayments_made,loan_repayments_received,loans_and_loan_repayments_made,loans_and_loan_repayments_received,loans_made,net_contributions,net_operating_expenditures,non_allocated_fed_election_activity,offsets_to_operating_expenditures,operating_expenditures,operating_expenditures_percent,organization_type,organization_type_full,other_disbursements,other_fed_operating_expenditures,other_fed_receipts,other_political_committee_contributions,other_refunds,party_and_other_committee_contributions_percent,party_full,political_party_committee_contributions,receipts,refunded_individual_contributions,refunded_other_political_committee_contributions,refunded_political_party_committee_contributions,refunds_relating_convention_exp,shared_fed_activity,shared_fed_activity_nonfed,shared_fed_operating_expenditures,shared_nonfed_operating_expenditures,sponsor_candidate_ids,sponsor_candidate_list,total_exp_subject_limits,total_transfers,transaction_coverage_date,transfers_from_affiliated_party,transfers_from_nonfed_account,transfers_from_nonfed_levin,transfers_to_affiliated_committee,treasurer_name,unitemized_convention_exp,unitemized_other_disb,unitemized_other_income,unitemized_other_refunds,unitemized_refunds_relating_convention_exp
0.0,0.0,474573.73,U,Unauthorized,C00392670,JUSTICE FREEDOM & LIBERTY PAC,TX,Q,PAC - Qualified,0.0,0.0,21.33,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,246092.32,0.0,0.0,52500.0,1000.0,246092.32,0.0,14592.32,1000.0,0.0,M,Monthly filer,2003-11-12,2003-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202608209899727527,229481.41,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,14592.32,0.0,0.0,14592.32,5.93,,,179000.0,14592.32,0.0,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"LISKER, LISA",0.0,0.0,0.0,0.0,0.0
0.0,0.0,133853.38,D,Leadership PAC,C00392738,HOOPS PAC,OR,Q,PAC - Qualified,2500.0,624805.0,28.35,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,642054.39,0.0,0.0,182000.0,5000.0,642054.39,0.0,426554.39,672678.57,0.0,Q,Quarterly filer,2003-11-19,2003-11-19,0.0,79255.0,11.78,79250.0,5.0,0.0,0.0,0.0,0.0,0.0,202607149875041603,164477.56,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,622305.0,416800.82,0.0,9753.57,426554.39,66.44,,,31000.0,426554.39,0.0,545550.0,0.0,81.1,,0.0,672678.57,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,['S6OR00110'],"[{'sponsor_candidate_id': 'S6OR00110', 'sponsor_candidate_name': 'WYDEN, RONALD L.'}]",0.0,0.0,2026-06-30,33120.0,0.0,0.0,0.0,"MICHELS, F. STEPHEN",0.0,0.0,0.0,0.0,0.0
0.0,0.0,91844.23,U,Unauthorized,C00392928,SAN FRANCISCO DEMOCRATIC COUNTY CENTRAL COMMITTEE,CA,Y,Party - Qualified,14875.0,323838.0,2.66,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,773749.09,0.0,0.0,0.0,0.0,303062.35,2063.26,665861.35,357495.93,0.0,Q,Quarterly filer,2003-11-24,2003-11-24,20596.03,317288.0,39.21,307480.0,9808.0,0.0,0.0,0.0,0.0,0.0,202608279903415525,127214.82,8201.16,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,308963.0,161516.68,2063.26,33657.93,665861.35,86.06,,,70353.45,106965.03,0.0,6550.0,0.0,0.81,DEMOCRATIC PARTY,0.0,809119.68,14875.0,0.0,0.0,0.0,0.0,0.0,88209.58,470686.74,,[],0.0,451623.75,2026-06-30,0.0,451623.75,0.0,0.0,"SANGIRARDI, JOE",0.0,0.0,0.0,0.0,0.0
0.0,0.0,434708.67,U,Unauthorized,C00393173,FIFTH THIRD BANCORP COMERICA INC. POLITICAL ACTION COMMITTEE,TX,Q,PAC - Qualified,5581.22,204677.79,12.39,0.0,0.0,2026-05-27T00:00:00,2025-01-01T00:00:00,2026,641886.46,0.0,0.0,79500.0,2500.0,641886.46,0.0,100.0,207177.79,0.0,T,Terminated,2003-12-03,2003-12-03,0.0,204677.79,98.79,113225.52,91452.27,0.0,0.0,0.0,0.0,0.0,202606059870432739,0.0,0.0,0.0,TERMINATION REPORT,2026,0.0,0.0,0.0,0.0,0.0,199096.57,100.0,0.0,0.0,100.0,0.02,C,Corporation,-6000.0,100.0,0.0,0.0,0.0,0.0,,0.0,207177.79,5581.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-05-27,0.0,0.0,0.0,562705.24,"BRIDGES, WENDY",0.0,0.0,0.0,0.0,0.0
0.0,0.0,58950.67,B,Lobbyist/Registrant PAC,C00393298,HERBALIFE INTERNATIONAL INC. PAC,DC,Q,PAC - Qualified,0.0,84472.15,99.27,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,53891.78,0.0,0.0,53500.0,0.0,53891.78,0.0,391.78,84473.33,0.0,M,Monthly filer,2003-12-08,2003-12-08,0.0,84472.15,100.0,72142.81,12329.34,0.0,0.0,0.0,0.0,0.0,202608189899551595,89532.22,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,84472.15,390.6,0.0,1.18,391.78,0.73,C,Corporation,0.0,391.78,0.0,0.0,0.0,0.0,,0.0,84473.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-07-31,0.0,0.0,0.0,0.0,"POPELKA, RANDALL",0.0,0.0,0.0,0.0,0.0
0.0,0.0,1271634.17,U,Unauthorized,C00393348,MARCHANT GOOD GOVERNMENT FUND,TX,Q,PAC - Qualified,0.0,0.0,10.44,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,638724.21,0.0,0.0,66665.29,2500.0,453075.64,0.0,102558.92,94781.68,0.0,Q,Quarterly filer,2003-12-03,2003-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202607149874999326,746273.8,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,0.0,102558.92,0.0,0.0,102558.92,16.06,,,469500.0,86910.35,110863.84,0.0,0.0,0.0,REPUBLICAN PARTY,0.0,113363.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"MARCHANT, KENNY E MR.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,8190.0,U,Unauthorized,C00393454,MILK PRODUCERS COUNCIL FEDERAL POLITICAL ACTION COMMITTEE,CA,N,PAC - Nonqualified,0.0,4197.0,100.0,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,3000.0,0.0,0.0,3000.0,0.0,3000.0,0.0,0.0,4197.0,0.0,Q,Quarterly filer,2003-12-11,2003-12-11,0.0,4197.0,100.0,0.0,4197.0,0.0,0.0,0.0,0.0,0.0,202607280300533201,9387.0,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,4197.0,0.0,0.0,0.0,0.0,0.0,T,Trade Association,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2025-09-30,0.0,0.0,0.0,0.0,JOHN A HUITSING,0.0,0.0,0.0,0.0,0.0
0.0,0.0,68161.35,U,Unauthorized,C00393728,"TEXAS ASSOCIATION FOR HOME CARE & HOSPICE, INC. TEXAS HOME CARE & HOSPICE PAC- FEDERAL",TX,Q,PAC - Qualified,0.0,60963.63,90.89,0.0,0.0,2026-07-31T00:00:00,2025-01-01T00:00:00,2026,54462.74,0.0,0.0,49500.0,0.0,54462.74,0.0,4962.74,60963.63,0.0,M,Monthly filer,2003-12-22,2003-12-22,0.0,60963.63,100.0,56379.53,4584.1,0.0,0.0,0.0,0.0,0.0,202608209903335677,74662.24,0.0,0.0,AUGUST MONTHLY,2026,0.0,0.0,0.0,0.0,0.0,60963.63,4962.74,0.0,0.0,4962.74,9.11,T,Trade Association,0.0,4962.74,0.0,0.0,0.0,0.0,,0.0,60963.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"HAMMON, RACHEL MS.",0.0,0.0,0.0,0.0,0.0
0.0,0.0,47187.59,B,Lobbyist/Registrant PAC,C00394163,PHYSICIAN-LED HEALTHCARE FOR AMERICA POLITICAL ACTION COMMITTEE (PHA PAC),DC,Q,PAC - Qualified,0.0,35740.0,97.82,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,50604.6,0.0,0.0,49500.0,0.0,50604.6,0.0,1104.6,35740.0,0.0,Q,Quarterly filer,2004-01-05,2004-01-05,0.0,35740.0,100.0,35290.0,450.0,0.0,0.0,0.0,0.0,0.0,202607149875018489,32322.99,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,35740.0,1104.6,0.0,0.0,1104.6,2.18,T,Trade Association,0.0,1104.6,0.0,0.0,0.0,0.0,,0.0,35740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"MONROE, STACIE",0.0,0.0,0.0,0.0,0.0
0.0,0.0,2312.76,U,Unauthorized,C00394452,EXCHANGE CONTRACTORS FEDERAL PAC,CA,Q,PAC - Qualified,0.0,55442.0,34.04,0.0,0.0,2026-06-30T00:00:00,2025-01-01T00:00:00,2026,34102.63,0.0,0.0,11608.89,0.0,34102.63,0.0,22493.74,55442.0,0.0,Q,Quarterly filer,2004-01-12,2004-01-12,0.0,55442.0,100.0,54094.0,1348.0,0.0,0.0,0.0,0.0,0.0,202607159890614563,23652.13,0.0,0.0,JULY QUARTERLY,2026,0.0,0.0,0.0,0.0,0.0,55442.0,22493.74,0.0,0.0,22493.74,65.96,,,0.0,22493.74,0.0,0.0,0.0,0.0,,0.0,55442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,[],0.0,0.0,2026-06-30,0.0,0.0,0.0,0.0,"MICHAEL, CANNON",0.0,0.0,0.0,0.0,0.0
